0.1	-0.0010 -0.0001
0.3	0.00284	0.00255
0.5	0.00518	0.00601
0.7	0.01083	0.01128
0.9	0.01869	0.01965
1.1	0.02754	0.03038
1.3	0.03922	0.04123
1.5	0.04863	0.05435
1.7	0.0593	0.06315
1.9	0.06759	0.07216
2.1	0.08045	0.0803
2.3	0.08656	0.08471
2.5	0.09214	0.08924
2.7	0.09615	0.08934
2.9	0.09728	0.08995
3.1	0.09737	0.09035
3.3	0.09453	0.0874
3.5	0.09174	0.07961
3.7	0.09081	0.07624
3.9	0.08756	0.07206
4.1	0.08352	0.06896
4.3	0.07972	0.06452
4.5	0.07374	0.05902
4.7	0.06529	0.05515
4.9	0.06259	0.05187
5.1	0.06037	0.0502
5.3	0.05271	0.04904
5.5	0.0504	0.04333
5.7	0.0493	0.03906
5.9	0.04362	0.03312
